package_name,entry_through_script,modules_used,eval,has_ip_or_address,has_bash_file,curl,fs,node-fetch,child_process,crypto,os,node-serialize,axios,querystring,dns,path,https_or_http
angular,False,{'./angular'},True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ansi-escape,False,"{'util', './lib/escapes', './lib/colors'}",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ansi-regex,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
anymatch,False,"{'picomatch', 'normalize-path'}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
apollo-client,False,"{'./core/QueryManager', './core/ObservableQuery', './core/networkStatus', '../errors/ApolloError', './types', '../util/arrays', 'ts-invariant', '../core/networkStatus', './errors/ApolloError', '../data/queries', 'tslib', 'graphql/language/visitor', 'graphql-tag', '../util/observables', 'apollo-utilities', './core/types', 'symbol-observable', '../data/mutations', './core/LocalState', '../util/capitalizeFirstLetter', './ApolloClient', './version', './data/store', './ObservableQuery', './LocalState', './observables', 'apollo-link', './networkStatus', '../util/Observable', './Observable'}",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
args,False,"{'./parse', 'chalk', 'mri', './options', 'camelcase', './option', 'leven', 'fs', './example', './examples', './utils', './help', './command', './version', 'path', 'child_process'}",False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
autoprefix,False,"{'./fix-case', 'decamelize', 'autoprefixer-core', '../fix-case', 'tape', 'camelcase', '../index'}",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
babel-plugin-transform-runtime,False,"{'@babel/helper-plugin-utils', '@babel/helper-module-imports', 'babel-plugin-polyfill-corejs2', './polyfills', 'babel-plugin-polyfill-corejs3', 'module', '@babel/core', './get-runtime-path', 'semver', 'babel-plugin-polyfill-regenerator', 'path', './helpers'}",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
babel-polyfill,False,"{'regenerator-runtime/runtime', 'path', 'fs', 'core-js/shim', 'core-js/fn/regexp/escape'}",False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
babel-preset-react,False,"{'babel-plugin-transform-react-jsx', 'babel-preset-flow', 'babel-plugin-syntax-jsx', 'babel-plugin-transform-react-display-name'}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
