package_name,exists,unpublished,published,removed,latest_version,number_of_versions,downloads
gzip-size,True,False,2014-02-28 19:58:32.495000+00:00,2023-02-07T21:59:15.180903,7.0.0,18.0,1765180601.0
parseurl,True,False,2014-03-08 02:08:58.819000+00:00,2023-02-07T21:59:16.169324,1.3.3,11.0,3909831649.0
redux-form,True,False,2015-07-29 22:02:21.232000+00:00,2023-02-07T21:59:18.300917,8.3.9,237.0,103493950.0
y18n,True,False,2015-07-27 07:19:00.467000+00:00,2023-02-07T21:59:20.071217,5.0.8,22.0,6821738953.0
rn,True,False,2014-01-08 03:43:22.240000+00:00,2023-02-07T21:59:22.079118,0.0.1,2.0,12468.0
string,True,False,2011-11-18 22:10:46.676000+00:00,2023-02-07T21:59:24.116354,3.3.3,44.0,36622812.0
jest,True,False,2012-02-22 15:25:48.298000+00:00,2023-02-07T21:59:25.599215,29.4.2,342.0,2340771463.0
unzip,True,False,2012-08-10 18:58:35.188000+00:00,2023-02-07T21:59:27.789474,0.1.11,17.0,35158671.0
args,True,False,2012-04-05 14:28:48.585000+00:00,2023-02-07T21:59:29.865167,5.0.3,43.0,156169720.0
mz,True,False,2014-05-08 07:30:52.707000+00:00,2023-02-07T21:59:31.329605,2.7.0,22.0,621826344.0
has-flag,True,False,2015-07-07 22:43:54.339000+00:00,2023-02-07T21:59:32.686870,5.0.1,6.0,15273771824.0
https,True,False,2015-03-20 22:05:15.765000+00:00,2023-02-07T21:59:34.058927,1.0.0,1.0,60446095.0
camelcase,True,False,2013-10-30 20:39:50.719000+00:00,2023-02-07T21:59:35.429569,7.0.1,26.0,11789446753.0
anymatch,True,False,2013-11-25 16:08:40.170000+00:00,2023-02-07T21:59:36.237252,3.1.3,18.0,6782585895.0
ansi-regex,True,False,2014-06-03 16:59:22.332000+00:00,2023-02-07T21:59:36.978267,3.0.1,17.0,16820549284.0
ansi-escape,True,False,2015-11-23 17:57:20.673000+00:00,2023-02-07T21:59:38.404466,1.1.0,3.0,1471583.0
apollo-client,True,False,2016-04-01 21:12:47.178000+00:00,2023-02-07T21:59:40.364262,2.6.10,309.0,237689512.0
path-exists,True,False,2015-05-02 22:43:43.950000+00:00,2023-02-07T21:59:41.710758,5.0.0,6.0,9545903681.0
autoprefix,True,False,2015-07-30 23:04:48.794000+00:00,2023-02-07T21:59:43.142970,1.0.1,10.0,248973.0
babel-register,True,False,2015-11-11 10:45:52.301000+00:00,2023-02-07T21:59:44.582793,7.0.0-beta.3,50.0,871718289.0
@babel/plugin-transform-runtime,True,False,2017-10-30 18:35:43.642000+00:00,2023-02-07T21:59:45.940661,7.19.6,97.0,1850519435.0
babel-polyfill,True,False,2015-10-29 18:21:44.831000+00:00,2023-02-07T21:59:47.256737,7.0.0-beta.3,42.0,679699713.0
babel-preset-react,True,False,2015-10-29 18:22:02.407000+00:00,2023-02-07T21:59:49.153012,7.0.0-beta.3,37.0,325064706.0
babel-types,True,False,2015-10-29 18:22:41.278000+00:00,2023-02-07T21:59:51.096771,7.0.0-beta.3,75.0,1452903951.0
babel-traverse,True,False,2015-10-29 18:22:31.769000+00:00,2023-02-07T21:59:53.125145,7.0.0-beta.3,78.0,1282947172.0
base64-js,True,False,2011-11-26 00:08:55.134000+00:00,2023-02-07T21:59:54.409109,1.5.1,23.0,4677616887.0
coffee-script,True,False,2010-12-24 19:03:36.215000+00:00,2023-02-07T21:59:55.753653,1.12.8,47.0,396880627.0
bn.js,True,False,2014-04-26 12:02:08.664000+00:00,2023-02-07T21:59:57.158955,5.2.1,121.0,4945365727.0
body-parser,True,False,2014-01-06 08:25:15.060000+00:00,2023-02-07T21:59:59.066188,1.20.1,70.0,4085094373.0
bootstrap,True,False,2011-08-28 02:47:44.043000+00:00,2023-02-07T22:00:00.409015,5.3.0-alpha1,58.0,695601108.0
browserslist,True,False,2014-12-15 08:26:19.552000+00:00,2023-02-07T22:00:01.671099,4.21.5,177.0,6044420137.0
resolve-from,True,False,2014-07-20 00:34:24.210000+00:00,2023-02-07T22:00:03.872712,5.0.0,6.0,8684368582.0
bcrypt,True,False,2011-02-21 19:08:56.225000+00:00,2023-02-07T22:00:05.307979,5.1.0,53.0,151049124.0
bluebird,True,False,2013-09-24 12:56:34.607000+00:00,2023-02-07T22:00:06.694932,3.7.2,228.0,4932599407.0
bytebuffer,True,False,2013-02-27 02:55:09.557000+00:00,2023-02-07T22:00:08.778738,5.0.1,68.0,172399346.0
clipboard,True,False,2012-02-17 11:32:12.919000+00:00,2023-02-07T22:00:10.192793,2.0.11,47.0,522751165.0
